Restaurant,Category,TripA_Rating,TripA_ReviewCount,Yelp_Rating,Yelp_ReviewCount,Phone,Latitude,longitude
Pacific Rim By Kana,Asian Fusion,4.5,371,4.0,402,+17346629303,42.27981,-83.74937
The Lunch Room,Vegan,4.5,147,4.5,403,+17342248859,42.2843231,-83.7460385
Frita Batidos,Cuban,4.5,369,4.5,1468,+17347612882,42.2803651,-83.7491532
Mani Osteria,Italian,4.5,538,4.0,681,+17347696700,42.2795793749763,-83.744244702611
Metzger's German Restaurant,German,4.5,349,4.0,193,+17346688987,42.293025,-83.839377
Sava's,Bars,4.5,731,4.0,930,+17346232233,42.279605,-83.7409649
The Chop House - Ann Arbor,Steakhouses,4.5,353,4.0,370,+18884563463,42.2787453979254,-83.7487088888884
Jerusalem Garden,Desserts,4.5,278,4.0,165,+17349955060,42.2792053222656,-83.7454223632812
Zingerman's Delicatessen,Delis,4.5,1823,4.0,1863,+17346633354,42.2844740041972,-83.7452775306885
Gandy Dancer,Seafood,4,727,3.5,371,+17347690592,42.2872135476824,-83.7416808912894
Aventura Ann Arbor,Tapas Bars,4.5,307,4.0,611,+17343693153,42.28026,-83.746473
Knight's Steak House,Steakhouses,4,267,4.0,201,+17346658644,42.28537,-83.77806
Jolly Pumpkin in Ann Arbor,Pubs,4,483,4.0,837,+17349132730,42.27914,-83.74824
Tomukun Korean Barbeque,Korean,4.5,179,4.0,309,+17343692602,42.2795502,-83.7427918
Afternoon Delight,American (Traditional),4.5,169,4.0,321,+17346657513,42.2796135,-83.7467957
Zingerman's Roadhouse,American (Traditional),4,1188,3.5,1049,+17346633663,42.2804461,-83.7805119
Logan,American (New),4.5,187,4.0,223,+17343272312,42.2802391052246,-83.7493438720703
West End Grill,American (Traditional),4.5,142,4.0,84,+17347476260,42.27982,-83.74959
The Earle Restaurant,Wine Bars,4,271,3.5,256,+17349940211,42.2803591,-83.7488956
NeoPapalis,Salad,4.5,116,4.5,277,+17349292227,42.2775307,-83.7428818
Grizzly Peak Brewing Company,Breweries,4,420,3.5,510,+17347417325,42.2806289,-83.7488893
Cafe Zola,French,4,431,3.5,685,+17347692020,42.2806273,-83.7488206
Cardamom,Indian,4,159,4.0,417,+17346622877,42.298577940426,-83.7214592574346
Mediterrano,Mediterranean,4.5,224,4.0,118,+17343329700,42.2454048,-83.740979
Palm Palace Restaurant,Middle Eastern,4.5,229,3.5,280,+17346060706,42.25342,-83.6813
Isalita,Mexican,4.5,173,4.0,441,+17342137400,42.2794618,-83.7444065
